Original_SMILES,Product_SMILES,Similarity,Reaction_SMARTS,DOI
*c1ccc[nH]c1=O,*c1c[nH]ccc1=O,0.3462,[O:1]=[c:2]1[c:3][c:4][c:7][c:6][nH:5]1>>[O:1]=[c:2]1[c:3][c:4][nH:5][c:6][c:7]1,https://doi.org/10.1021/acs.jmedchem.1c01215
*c1ccc[nH]c1=O,*c1ncn[nH]1,0.1786,[*:1][c:2]1[c:3][c][c][nH:6][c]1=[O]>>[*:1][c:2]1n[c:3]n[nH:6]1,https://doi.org/10.1021/acs.jmedchem.1c00692
*c1ccc[nH]c1=O,*c1nnn[nH]1,0.1429,[*:1][c:2]1[c][c][c][nH:6][c]1=[O]>>[*:1][c:2]1nnn[nH:6]1,https://dx.doi.org/10.1021/acs.jmedchem.9b01865
*c1ccc[nH]c1=O,*c1cccn1C=O,0.2414,[c:1]1[c:2][c:3][n:4][c:5][c:6]1>>[C:5][n:4]1[c:3][c:2][c:1][c:6]1,https://doi.org/10.1021/acs.jmedchem.4c00094
*c1ccc[nH]c1=O,*c1cc(C(=O)O)c[nH]c1=O,0.3333,[*:1][c:2]1[c:3][c:4][c:5][n:6][c:7]1>>[*:1][c:2]1[c:7][n:6][c:5][c:4](C(=O)O)[c:3]1,https://doi.org/10.1021/acs.jmedchem.2c01349
*c1ccc[nH]c1=O,*c1c(C)[nH]c(C)cc1=O,0.2258,[O:1]=[c:2]1[c:3][c:4][c:5][c:6][nH:7]1>>C[c:4]1[c:3][c:2](=[O:1])[c:5][c:6](C)[nH:7]1,https://doi.org/10.1021/acs.jmedchem.2c00047
*c1ccc[nH]c1=O,*c1c(CCN(C)C)cc2n(c1=O)NCC2,0.1739,[O:1]=[c:2]1[c:3][c:4][c:5][c:6][nH:7]1>>CN(C)CC[c:4]1[c:5][c:6]2[n:7]([c:2](=[O:1])[c:3]1)NCC2,https://doi.org/10.1021/acs.jmedchem.2c00047
*c1ccc[nH]c1=O,*c1c(SC)cc(C)[nH]c1=O,0.2727,[O:1]=[c:2]1[c:3][c:4][c:5][c:6][nH:7]1>>CS[c:4]1[c:5][c:6](C)[nH:7][c:2](=[O:1])[c:3]1,https://doi.org/10.1021/acs.jmedchem.2c00047
*c1ccc[nH]c1=O,*c1cc2ccccc2c(=O)[nH]1,0.3226,[*:1][c:2]1[c:3][c:4][c:5][n:6][c:7]1>>[*:1][c:2]1[c:3][c:4]2[c:5]cccc2[c:7][n:6]1,https://doi.org/10.1021/acs.jmedchem.0c01826
*c1ccc[nH]c1=O,*C1CCC(=O)O1,0.1667,[*:1][c:2]1[c:3][c:4][c][n][c:7]1>>[*:1][C:2]1[C:3][C:4][C:7]O1,https://doi.org/10.1021/acs.jmedchem.1c01215
*c1ccc[nH]c1=O,*C1CCOC1=O,0.129,[*:1][c:2]1[c:3][c:4][c][n][c:7]1>>[*:1][C:2]1[C:3][C:4]O[C:7]1,https://dx.doi.org/10.1021/acs.jmedchem.9b02153
*c1ccc[nH]c1=O,*C1CCC1=O,0.1481,[*:1][c:2]1[c:3][c:4][c][n][c:7]1>>[*:1][C:2]1[C:3][C:4][C:7]1,https://dx.doi.org/10.1021/acs.jmedchem.9b02153
*c1ccc[nH]c1=O,*C1COC1=O,0.1429,[*:1][c:2]1[c:3][c][c][n][c:7]1>>[*:1][C:2]1[C:3]O[C:7]1,https://doi.org/10.1021/acs.jmedchem.1c01215
*c1ccc[nH]c1=O,*c1ccccc1O,0.3478,[O:1]=[c:2]1[c:3][c:4][c:5][c:6][nH]1>>[O:1][c:2]1[c:3][c:4][c:5][c:6]c1,https://doi.org/10.1021/acs.jmedchem.4c00094
*c1ccc[nH]c1=O,*c1ccc[n+]([O-])c1,0.2414,[O:1]=[c:2]1[c:3][c:4][c:5][c:6][nH:7]1>>[O-:1][n+:7]1[c:6][c:5][c:4][c:3][c:2]1,https://doi.org/10.1021/acs.jmedchem.1c01215
