Original_SMILES,Product_SMILES,Similarity,Reaction_SMARTS,DOI
*c1ccnc(NC)n1,*c1cccc(NC)c1,0.2727,[c:1]1[c:2][n:3][c:4](-[N:7])[n:5][c:6]1>>[c:1]1[c:2][c:3][c:4](-[N:7])[c:5][c:6]1,https://doi.org/10.1021/acs.jmedchem.4c00026
*c1ccnc(NC)n1,*c1coc(NC)n1,0.3438,[c:1]1[n:2][c:3][n:4][c:5][c]1>>[c:1]1[o:2][c:3][n:4][c:5]1,https://doi.org/10.1021/acs.jmedchem.4c00652
*c1ccnc(NC)n1,*c1cnc(NC)o1,0.303,[c:1]1[n:2][c:3][n:4][c:5][c]1>>[c:1]1[o:2][c:3][n:4][c:5]1,https://doi.org/10.1021/acs.jmedchem.4c00652
*c1ccnc(NC)n1,*C12N=CN=C1C=NC(NC)=N2,0.186,[N:7]-[c:1]1[n:2][c:3][c:4][c:5][n:6]1>>[N:7]-[c:1]1[n:2][c:3][c:4]2[n][c][n][c:5]2[n:6]1,https://doi.org/10.1021/acs.jmedchem.2c00568
*c1ccnc(NC)n1,*c1ccnc(N)n1,0.4643,[*:1][c:2]1[c:3][c:4][n:5][c:6]([N:7][C])[n:9]1>>[*:1][c:2]1[c:3][c:4][n:5][c:6]([N:7])[n:9]1,https://doi.org/10.1021/acs.jmedchem.1c00382
*c1ccnc(NC)n1,*c1cc(NC)ccn1,0.4667,[*:1]-[c:2]1[n:3][c:4][c:5][c:6][n:7]1>>[*:1]-[c:2]1[c:3][c:4][n:5][c:6][c:7]1,https://dx.doi.org/10.1021/acs.jmedchem.1c00034
*c1ccnc(NC)n1,*c1cc(NC)co1,0.2353,[*:7][c:2]1[c:3][c:4][n][c:6]([*:1])[n]1>>[*:1][c:2]1[c:4]o[c:6]([*:7])[c:3]1,https://doi.org/10.1021/acs.jmedchem.1c01215
*c1ccnc(NC)n1,*c1cc(NC)ccc1OC,0.2432,[c:1]1[c:2][n][c:4][n][c:6]1>>CO[c:1]1[c:2]c[c:4]c[c:6]1,https://doi.org/10.1021/acs.jmedchem.4c00094
*c1ccnc(NC)n1,*c1ccnc(NC2COC2)n1,0.5,[*:1][N:2][C:3]>>[*:1][N:2][C:3]1COC1,https://doi.org/10.1021/acs.jmedchem.1c01509
*c1ccnc(NC)n1,*c1cc(C)c(Cl)cc1NC,0.2162,[*:1][c:2]1[c:9][c:7]n[c:3]n1>>[*:1][c:2]1[c:3][c][c]([Cl])[c:7]([C])[c:9]1,https://doi.org/10.1016/j.ejmech.2022.114483
